artist,releases_owned,weight,
Sleep D,51,2,
Various Artists,41,0,
Mia Koden,30,2,
Butter Sessions,27,0,
Autumns,25,2,
Benjamin Fröhlich,25,2,
BOOF,25,2,
Mala Junta,25,1,
Max In The World,25,1,
Skee Mask,25,2,
Whitesquare,25,1,
Ballads,20,0,
Facets,20,2,
James Welsh,20,2,
Justus Köhncke,20,2,
KiNK,20,2,
Pablo Bozzi,20,1,
Plump DJs,20,2,
Terry Lee Brown Junior,20,2,
Voiski,17,2,
Guts,16,1,
Guy Contact,16,1,
Bella Boo,15,1,
Benedikt Frey,15,2,
Bleaching Agent,15,2,
Blu:sh,15,2,
Cinthie / Elevate.Berlin,15,2,
Clint,15,2,
DJ Hell,15,2,
Jezebell,15,2,
Justin Cudmore,15,1,
Mr. Sunshine,15,1,
O.M.Theorem,15,1,
Peter Van Hoesen,15,1,
Schwefelgelb,15,1,
Solo Andata,15,1,
The MFA,15,1,
The Trip,15,2,
Theus Mago,15,1,
Tornado Wallace,15,2,
Jennifer Loveless,14,1,
Chris Liebing & Speedy J,12,2,
.Vril,10,2,
air liquide,10,2,
Asa Tate / Tech Support,10,1,
Axon Growth Factor,10,1,
Chrissy,10,1,
Christopher Ledger,10,2,
Craft Music,10,1,
Cromby,10,2,
CULT,10,1,
D. Tiffany,10,2,
Delta Funktionen,10,1,
Dettinger,10,1,
DJ Cosworth,10,1,
DJ JM,10,1,
DMX Krew,10,2,
Fantastic Man,10,1,
Future Rock,10,1,
Gatto Fritto,10,1,
Inland Knights,10,2,
Introspekt,10,1,
Jordan Nocturne,10,1,
JSPRV35,10,1,
K-HAND,10,2,
Kassian,10,2,
Klara Lewis & Yuki Tsujii,10,1,
Known Artist,10,2,
L-VIS 1990,10,1,
Main Phase,10,2,
Metro Area,10,2,
MoMA Ready,10,1,
Moustache Records,10,0,
musclecars,10,1,
Nyra,10,1,
OK EG,10,2,
oma totem,10,2,
Orlando Voorn Official,10,1,
Osmosis Jones,10,1,
Player,10,2,
Regal86,10,1,
Reinhard Voigt,10,2,
RZ Muzik,10,1,
Sedef Adasi,10,2,
Shed,10,2,
So Klarity,10,2,
Soul Mass Transit System,10,2,
Sworn Virgins,10,2,
Taylor Deupree,10,1,
The CableGuy,10,2,
The Hacker,10,2,
The Human League,10,2,
Various,10,,
Vicious Pink,10,,
Will Hofbauer,10,,
X CLUB.,10,1,
CORAL D,9,1,
Ewan Jansen,9,1,
james K,9,2,
Robag Wruhme,9,2,
C.L.A.W.S.,8,2,
Polito,8,1,
Alex Kassian,7,2,
Cale Sexton,7,0,
Criminal Issues,6,0,
Kosh,6,1,
Ploy,6,2,
1morning vs. 2Lanes,5,,
8004,5,,
9beats,5,1,
a-biotic,5,1,
Abstraxion,5,1,
Acopia,5,1,
Against All Logic,5,2,
aka-Sol,5,2,
Alden Tyrell,5,2,
Alex Albrecht,5,,
Alinka,5,2,
Amor Satyr & Siu Mata,5,,
Anaxander,5,,
Ancient Methods,5,,
Andi,5,1,
Andre Zimmer,5,2,
Anechoic,5,1,
Another Body Found,5,,
Aphex Twin,5,2,
Aphrodelics,5,,
ATOM,5,2,
Auramatic,5,,
B-Rock,5,,
Baauer,5,,
Beau Didier,5,1,
Belaria,5,2,
BELLA,5,2,
Benliebrand,5,,
Black Light Smoke,5,2,
"Black Light Smoke, Man 2.0",5,,
Bliss Point,5,2,
Bodhi,5,,
Boy Harsher,5,2,
Braga Circuit,5,1,
Brendon Moeller,5,,
Burial,5,2,
Bushbaby,5,1,
Bushwacka!,5,2,
Buttechno,5,2,
Cabin Luv Affair,5,,
Camisra,5,,
Car Culture,5,2,
Carré,5,2,
Cassius,5,,
Cassy,5,2,
CC:DISCO!,5,2,
Central Fire,5,,
Charli XCX,5,,
Christian AB,5,,
Ciel & CCL,5,2,
Close Proximity,5,,
Command D & Zara,5,2,
Constant Sound,5,2,
Cosmetics,5,1,
Cousin,5,2,
CURSES,5,2,
Cyclist,5,,
D Stone & Milion,5,2,
D'oR,5,,
D.K.,5,,
Daphni,5,1,
DART,5,1,
