venue,event_count,weight
Bossa Nova Civic Club,26,1
Public Records,22,1
Reforesters Laboratory,18,
San Antonios,16,
close up jazz,15,
Eavesdrop,15,1
Nowadays,15,2
SILO,15,
Jupiter Disco,14,1
Moondog Hifi,14,
KG's,13,
Mood Ring,13,1
BASEMENT,12,2
Signal,12,2
Silence Please,12,1
the stone,12,
Cargo @ Dead Letter No. 9,11,1
Outer Heaven,11,1
light & sound design,10,2
Purgatory,10,
brothers wash & dry laundromat,9,1
Elsewhere,9,1
la mama,9,
Paragon,9,2
SOBs,9,
Superior Ingredients,9,1
Gabriela,8,2
Nublu,8,1
Trans-Pecos,8,1
Union Pool,8,1
Delirium,7,
H0L0,7,2
MAD Radio NYC,7,
Market Hotel,7,1
Xanadu,7,1
Bar 13,6,
C'mon Everybody,6,1
Cassette,6,
Good Room,6,2
Le Bain,6,1
Pianos,6,
Rash,6,1
Refuge,6,2
roulette,6,
Silver Lining Lounge,6,
Sleepwalk,6,
The Sultan Room,6,1
99 Scott Ave,5,1
High Bar NYC,5,
Knockdown Center,5,2
lava club,5,
Nexo,5,
downtown music gallery,4,
fringe records,4,
Green Room NYC,4,2
House of Yes,4,
nublu 151,4,1
Seventh Heaven Bar & Karaoke,4,1
shapeshifter lab,4,
The Meadows,4,
Bar Laika,3,1
Brooklyn Hangar,3,
Dada,3,
Dive Bar BK,3,
footlight at windjammer,3,
Hotel Chantelle,3,
issue project room,3,
Marquee,3,
Mehanata Bar,3,
Million Goods,3,1
Pioneer Works,3,2
The DL,3,
The Gutter,3,
the record shop,3,
tv eye,3,
Unveiled,3,
Wonderville,3,
Ainsworth Brooklyn,2,
ALPHAVILLE,2,
Althea's Rooftop,2,
Apollo Studio,2,
Brooklyn Music Kitchen,2,
Brooklyn Storehouse,2,1
Danger Danger,2,1
Deluxx Fluxx,2,
Happyfun Hideaway,2,1
Hart Bar,2,
Hidden Tiger,2,
Home Sweet Home,2,
Idle Mind Tavern,2,
Jolene Sound Room Brooklyn,2,1
KEYBAR,2,
Lehman Center for the Performing Arts,2,
life world,2,
Lost in Paradise Rooftop,2,
main drag,2,
National Sawdust,2,
Pier 36,2,
Rebecca's,2,
Somewhere Nowhere NYC,2,
The Brooklyn Monarch,2,
The Delancey,2,
314 Scholes,1,
53 Scott Ave - 5th floor,1,1
9 Bob Note,1,1
96 Morgan Ave,1,
Acoustik Garden Lounge,1,
amant 312,1,
artists space,1,
ARTSPACE,1,
baby's all right,1,1
bar freda,1,
Barrio Bx,1,
bellcave,1,
Beverly's NYC,1,
Body by Brooklyn,1,
Boyfriend Co-op,1,
Brooklyn Brewery,1,
Brooklyn Steel,1,1
Caffeine Underground,1,
Chelsea Table & Stage,1,
church of st. luke & st. matthew,1,
Club Bohemia,1,
e-flux,1,1
Eden NYC,1,
Elsie Rooftop NYC,1,
Empire Stage,1,
francis kite club,1,
g Lounge,1,
giorno poetry systems,1,
Gold Sounds,1,
Hana House,1,
hart bar garage,1,
Head Hifi,1,
Honey's,1,1
Jade,1,
La Noxe Trinity,1,
Littlefield,1,
Loafers Cocktail Bar,1,
mama tried,1,
Melrose Ballroom,1,
Metropolitan Bar,1,
Mezcaleria Milagrosa,1,1
Mi Sabor Cafe,1,
movement research at judson,1,
Music For A While,1,
Nightmoves,1,1
our saviours atonement lutheran church,1,
p.i.t.,1,
performance space,1,
prospect series apt,1,
Qncc,1,2
recirculation,1,
Red Eye NY,1,
Rumi,1,
scandinavia house,1,
Selva NYC,1,1
singers,1,1
SISTEM,1,
sisters,1,1
Skyport Marina,1,
soup & sound,1,
st. michael's church,1,
stone circle at ridgewood presby,1,
striped light,1,
sunview acropolis,1,
Talon Bar,1,
Telos Haus,1,
Terminal 5,1,1
the broadway,1,1
The Chocolate Factory,1,1
the dimenna center cary hall,1,
The House,1,
The Last Call,1,
the living gallery,1,
The Parkside Lounge,1,1
The Red Pavilion,1,
The Rosemont,1,
The Woodshop,1,
threes brewing,1,
troutman studio,1,
VERS,1,
Viva Toro Nightclub,1,
With Others,1,
